J,I,K,rep,seed_service,seed_lateness,method,algorithm_class,timing_scope,validated_obj,runtime_sec,budget_sec,validation_status,protocol_pass,test_K,test_mean_direct,test_p95_direct,test_direct_exceed_rate,test_mean_indirect,test_p95_indirect,test_indirect_exceed_rate,cuts_added,total_scenario_screens,num_vars,num_constrs,num_genconstrs
16,16,100,0,12065,12066,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,18.054539138207645,115.08912229537964,120.0,PASS,1,1000,0.45959490483316606,1.7416542360101936,0.025,0.0006334092603287587,0.0,0.0,0.0,0.0,39312.0,23561.0,150400.0
16,16,100,0,12065,12066,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,12.611915184340774,120.0790102481842,120.0,PASS,1,1000,0.3610442231812691,1.5249005329083516,0.0159,0.00020910806406358265,0.0,0.0,9222.0,900.0,34512.0,34389.0,8000.0
16,16,100,0,12065,12066,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,12.611915184340774,114.93445563316345,120.0,PASS,1,1000,0.3610442231812691,1.5249005329083516,0.0159,0.00020910806406358265,0.0,0.0,2432.0,760.0,34512.0,34389.0,8000.0
16,16,100,0,12065,12066,K-BRKGA,independent heuristic comparator,fixed stable slots,16.72395161503505,4.428741216659546,120.0,PASS,not_applicable,1000,0.49040689753539035,1.7662221181324793,0.0257,0.0,0.0,0.0,nan,nan,nan,nan,nan
16,16,100,1,12165,12166,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,17.820427556825337,118.3652274608612,120.0,PASS,1,1000,0.460792738254514,1.7459483510703544,0.024275,0.001092541698744056,0.0,0.0,0.0,0.0,39312.0,23561.0,150400.0
16,16,100,1,12165,12166,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,12.645522629099332,120.06729650497437,120.0,PASS,1,1000,0.3738686646990112,1.5951202944194365,0.018275,0.0012276305968601984,0.0,0.0,8850.0,500.0,34512.0,34389.0,8000.0
16,16,100,1,12165,12166,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,12.645522629099332,120.05431962013245,120.0,PASS,1,1000,0.3738686646990112,1.5951202944194365,0.018275,0.0012276305968601984,0.0,0.0,1000.0,230.0,34512.0,34389.0,8000.0
16,16,100,1,12165,12166,K-BRKGA,independent heuristic comparator,fixed stable slots,17.040159793748813,4.082942724227905,120.0,PASS,not_applicable,1000,0.47829857106579127,1.7266428715875313,0.023125,0.0,0.0,0.0,nan,nan,nan,nan,nan
16,16,100,2,12265,12266,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,18.16882227766024,115.44060277938843,120.0,PASS,1,1000,0.4488667621164458,1.713893602680126,0.022275,0.0013734140249562993,0.0,0.0,0.0,0.0,39312.0,23561.0,150400.0
16,16,100,2,12265,12266,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,12.233709265927644,112.18375039100647,120.0,PASS,1,1000,0.36679976886929533,1.5592450085206877,0.01705,0.00031517728537041126,0.0,0.0,7600.0,400.0,34512.0,34389.0,8000.0
16,16,100,2,12265,12266,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,12.233709265927644,120.06823539733887,120.0,PASS,1,1000,0.36679976886929533,1.5592450085206877,0.01705,0.00031517728537041126,0.0,0.0,4340.0,330.0,34512.0,34389.0,8000.0
16,16,100,2,12265,12266,K-BRKGA,independent heuristic comparator,fixed stable slots,16.381890275058083,4.253876686096191,120.0,PASS,not_applicable,1000,0.483500900005048,1.7724250822762766,0.024025,0.0,0.0,0.0,nan,nan,nan,nan,nan
16,16,100,3,12365,12366,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,17.919841699452007,115.9656913280487,120.0,PASS,1,1000,0.4557495166235487,1.6957737945697027,0.0217,0.0034104568029058213,0.0,0.0,0.0,0.0,39312.0,23561.0,150400.0
16,16,100,3,12365,12366,LBBD,exact formulation/decomposition,joint sequence-and-time optimization,11.680960625366595,120.07187414169312,120.0,PASS,1,1000,0.3715216781906139,1.579348983897176,0.016975,0.00025645752000270846,0.0,0.0,3622.0,900.0,34512.0,34389.0,8000.0
16,16,100,3,12365,12366,CBBD,exact formulation/decomposition,joint sequence-and-time optimization,11.680960625366595,120.05133509635925,120.0,PASS,1,1000,0.3715216781906139,1.579348983897176,0.016975,0.00025645752000270846,0.0,0.0,1530.0,1040.0,34512.0,34389.0,8000.0
16,16,100,3,12365,12366,K-BRKGA,independent heuristic comparator,fixed stable slots,15.87389373042538,3.4657998085021973,120.0,PASS,not_applicable,1000,0.4864740804199093,1.7625206200113541,0.02375,0.0,0.0,0.0,nan,nan,nan,nan,nan
16,16,100,4,12465,12466,DE-MILP,exact formulation/decomposition,joint sequence-and-time optimization,19.408301336359273,115.09077095985413,120.0,PASS,1,1000,0.43848594175278616,1.6919050583792699,0.02195,0.0002798898788158845,0.0,0.0,0.0,0.0,39312.0,23561.0,150400.0
